id,session_id,user_id,ip_address,user_agent,device_type,browser,location,is_active,last_activity,created_at
19,rEfew_h8YGwkoTxHNxl3NHu25EdXsXrWMtSPY2KicTA,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:26:44.810677,2026-05-07 06:26:44.810697
20,XnsZryXtOvGP9i4N0ROhExgqfgA2RfUOrts-8psBMNM,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:41:11.744667,2026-05-07 06:41:11.744674
21,ve0eUBvhQ8cH9y4UBSWOBOH8Vi3NqpggOJtiCSvdlFY,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:41:43.186154,2026-05-07 06:41:43.186165
22,hbIMxH3LB24zENeGDMlPQRaK23a9pNFX_EfTRyJknbI,1,127.0.0.1,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.8115,Desktop,Unknown,,1,2026-05-07 06:41:53.070803,2026-05-07 06:41:53.070821
23,YYf98QBOZotMAex0Hlr8KRdxveXzRP2tbcLpGz2MAOs,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:44:06.277006,2026-05-07 06:44:06.277011
24,fOZn-H7VlzEhoWwd2NtVNZrFpnQys06pEIo2bdZTiaw,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:47:23.341382,2026-05-07 06:47:23.341390
25,02n6A8-LeMxIqVGpgvWCC8cN8Me97GfXekL-aMOAMkw,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:57:17.586470,2026-05-07 06:57:17.586474
26,7RUBATqDmsqhNRS7i-sFigFgp_3GgdQM3AozQES54I8,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:59:01.948347,2026-05-07 06:59:01.948351
27,lzySgEGPKoqxOPsyP_rJLLLj0gzjTYUAqxKUTysa-mk,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 07:03:06.145380,2026-05-07 07:03:06.145387
28,w2bMXhry3uY_ov7rlyqZoY7EF6c9299MYXKmelx9QBo,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 07:06:01.044030,2026-05-07 07:06:01.044034
29,K_S1jagDMF_WzVkLx-SQ7ridsE31d52m1g70BONZ30g,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 07:07:49.799530,2026-05-07 07:07:49.799543
30,Vdx5eUQW0FHaNNMULgKkLT7PYpLlwZx8mxP_GYqzeTs,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 07:10:42.012707,2026-05-07 07:10:42.012714
31,nLOFhSyc4tbThCyYpNp26JdHubEtg19yGQDKTjx3vZ8,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 09:11:17.199559,2026-05-07 09:11:17.199625
32,FqG6Jo68vYh5FLU2r7gYA7f4m9BnLgRunJhlidPRgbM,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 09:24:35.151620,2026-05-07 09:24:35.151661
33,2Kd_6oUr76BWj19PahUSu-GMFRF0DrbyvP00VSqaQTU,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 09:25:50.717552,2026-05-07 09:25:50.717622
34,Y3SLrBieH9FFnxs5_p_YSY58EYSMFa4Kr0ptBGZNvQg,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 09:37:27.121524,2026-05-07 09:37:27.121539
35,PKqXfToxCtkj48MKK9c7QKZOjXLgVIoxwRBsB5NMZ2Q,8,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 10:33:56.435601,2026-05-07 10:33:56.435613
36,b6Wdd7-nUXUmdaYGGdgosIrXeyBzlPsr42MXOPWMsIg,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,1,2026-05-07 10:34:15.380060,2026-05-07 10:34:15.380072
37,8hiUFdbX3XQSrSyy5VmGSLoNUjnrjp6MdjsuairDxQ0,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,1,2026-05-07 13:58:18.115185,2026-05-07 13:58:18.115204
