id,user_id,activity_type,activity_details,page_url,ip_address,created_at
30,4,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-22 14:38:22.281103
31,5,login,"{""action"": ""login""}",/,127.0.0.1,2026-05-01 23:38:22.281134
32,5,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-30 22:38:22.281164
33,5,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-29 21:38:22.281195
34,5,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-28 20:38:22.281222
35,5,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-27 19:38:22.281254
36,5,login,"{""action"": ""login""}",/,127.0.0.1,2026-04-26 18:38:22.281279
37,5,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-25 17:38:22.281307
38,5,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-24 16:38:22.281335
39,5,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-23 15:38:22.281359
40,5,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-22 14:38:22.281384
41,6,login,"{""action"": ""login""}",/,127.0.0.1,2026-05-01 23:38:22.281409
42,6,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-30 22:38:22.281433
43,6,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-29 21:38:22.281457
44,6,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-28 20:38:22.281484
45,6,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-27 19:38:22.281509
46,6,login,"{""action"": ""login""}",/,127.0.0.1,2026-04-26 18:38:22.281543
47,6,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-25 17:38:22.281578
48,6,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-24 16:38:22.281622
49,6,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-23 15:38:22.281685
50,6,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-22 14:38:22.281751
51,7,login,"{""action"": ""login""}",/,127.0.0.1,2026-05-01 23:38:22.281804
52,7,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-30 22:38:22.281904
53,7,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-29 21:38:22.281966
54,7,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-28 20:38:22.282015
55,7,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-27 19:38:22.282046
56,7,login,"{""action"": ""login""}",/,127.0.0.1,2026-04-26 18:38:22.282078
57,7,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-25 17:38:22.282119
58,7,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-24 16:38:22.282167
59,7,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-23 15:38:22.282215
60,7,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-22 14:38:22.282355
61,1,login,,,127.0.0.1,2026-05-07 04:38:54.821761
62,8,register,,,127.0.0.1,2026-05-07 04:50:59.975631
63,8,logout,,,127.0.0.1,2026-05-07 04:53:47.961124
64,2,login,,,127.0.0.1,2026-05-07 04:54:08.152299
65,2,logout,,,127.0.0.1,2026-05-07 04:55:07.246665
66,1,login,,,127.0.0.1,2026-05-07 04:55:16.226434
67,1,login,,,testclient,2026-05-07 06:19:56.861380
68,1,login,,,testclient,2026-05-07 06:20:36.254150
69,1,login,,,127.0.0.1,2026-05-07 06:25:05.589566
70,1,login,,,127.0.0.1,2026-05-07 06:26:05.224817
71,1,login,,,testclient,2026-05-07 06:26:44.838885
72,1,login,,,testclient,2026-05-07 06:41:11.787686
73,1,login,,,testclient,2026-05-07 06:41:43.211187
74,1,login,,,127.0.0.1,2026-05-07 06:41:53.101257
75,1,login,,,testclient,2026-05-07 06:44:06.294492
76,1,login,,,testclient,2026-05-07 06:47:23.368275
77,1,login,,,testclient,2026-05-07 06:57:17.606514
78,1,login,,,testclient,2026-05-07 06:59:01.961912
79,1,login,,,testclient,2026-05-07 07:03:06.164024
80,1,login,,,testclient,2026-05-07 07:06:01.062834
81,1,login,,,testclient,2026-05-07 07:07:49.827829
82,1,logout,,,127.0.0.1,2026-05-07 07:08:28.323626
83,1,login,,,127.0.0.1,2026-05-07 07:10:42.080672
84,1,logout,,,127.0.0.1,2026-05-07 07:12:14.358269
85,1,login,,,127.0.0.1,2026-05-07 09:11:17.297207
86,1,logout,,,127.0.0.1,2026-05-07 09:24:21.849162
87,1,login,,,127.0.0.1,2026-05-07 09:24:35.177621
88,1,logout,,,127.0.0.1,2026-05-07 09:25:34.667312
89,1,login,,,127.0.0.1,2026-05-07 09:25:50.759740
90,1,logout,,,127.0.0.1,2026-05-07 09:28:33.583741
91,1,login,,,127.0.0.1,2026-05-07 09:37:27.163519
92,1,logout,,,127.0.0.1,2026-05-07 10:33:48.415826
93,8,login,,,127.0.0.1,2026-05-07 10:33:56.457216
94,8,logout,,,127.0.0.1,2026-05-07 10:34:02.555276
95,1,login,,,127.0.0.1,2026-05-07 10:34:15.402536
96,1,login,,,127.0.0.1,2026-05-07 13:58:18.151771
